age ht wt grmax
818 70 143.9 52.4 23
819 70 149.3 57.2 25
820 70 151.9 47.8 22
821 71 152.4 69.7 25
822 71 148.9 51 28
823 71 152.8 53 27
824 71 147.5 53.8 30
825 71 151.9 49.3 22
826 71 145.8 52.4 27
827 71 151.1 58.4 25
828 71 151.9 50.2 26
829 71 147.2 55.4 25
830 71 147.7 56.4 28
831 71 152.8 60.4 23
832 71 155.6 58 23
833 71 154.3 54.4 22
834 71 153.8 57.2 22
835 71 151.3 57.6 27
836 72 155.6 60.6 20
837 72 152.4 50.2 19
838 72 154.6 61.2 24
839 72 156.6 55.8 23
840 72 149.9 56.6 25
841 72 158.1 61.2 23
842 72 149.7 44.4 23
843 72 146.9 60 28
844 72 155.1 62.6 26
845 72 151.2 53.4 24
846 73 153 48 24
847 73 152 53.8 25
848 73 155.1 54.9 22
849 73 145.2 56 23
850 73 144.7 50.2 21
851 73 145.5 51.2 24
852 73 137.8 47.4 22
853 73 147.6 40.8 24
854 73 145.7 53.4 18
855 73 143.8 50.4 20
856 73 142.9 45.4 23
857 73 150.1 43 20
858 73 144.7 35.8 17
859 73 147.9 54 24
860 73 146.8 49.8 25
861 73 137.5 40 24
862 73 145 51.6 20
863 74 142 61 23
864 74 151.5 49.2 25
865 74 151.5 66.3 19
866 74 141.6 54 21
867 74 145.6 65.4 18
868 74 148 54.6 23
869 74 153 52.8 26
870 74 147.6 55.8 28
871 74 139.2 43.8 15
872 75 146.4 59 27
873 75 146 49.8 22
874 75 145.7 56.2 25
875 75 144.3 46.9 12
876 75 146.4 57.4 17
877 75 132.4 43 21
878 75 149 55.2 20
879 75 152.4 62.6 20
880 76 150 52.2 25
881 76 140.9 58.2 19
882 76 159.5 53.6 28
883 76 143.6 55.6 20
884 76 140.7 39 18
885 76 139.8 48.6 26
886 76 145.4 52.4 16
887 77 157 53 29
888 77 134 37.8 19
889 77 136.8 51.6 24
890 77 150.1 60 27
891 77 144.7 52.8 22
892 77 144.6 46.2 21
893 77 146.2 44.2 28
894 77 138.8 40.8 19
895 78 148 55.4 22
896 78 147.6 53.2 17
897 78 142.1 54.4 22
898 78 148.9 39.4 20
899 78 136.5 50.8 21
900 79 146.5 50.7 25
901 79 153.3 52.2 25
902 79 143.2 45.8 20
903 80 138.9 40.3 13
904 80 146.9 38.8 18
905 80 147.6 57.8 25
906 81 142.8 40.6 17
907 81 144.9 56.2 24
908 82 141.8 41.4 22
909 83 131.8 41.4 13
